,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Czechia","Data source","Beer","6.89"
"Czechia","Data source","Wine","2.76"
"Czechia","Data source","Spirits","3.28"
"Czechia","Data source","Other alcoholic beverages","0"
"Democratic People's Republic of Korea","Data source","All types","3.30"
"Democratic People's Republic of Korea","Data source","Beer","0.06"
"Democratic People's Republic of Korea","Data source","Wine","0.00"
"Democratic People's Republic of Korea","Data source","Spirits","3.24"
"Democratic People's Republic of Korea","Data source","Other alcoholic beverages","0.00"
"Democratic Republic of the Congo","Data source","All types","0.58"
"Democratic Republic of the Congo","Data source","Beer","0.54"
"Democratic Republic of the Congo","Data source","Wine","0.01"
"Democratic Republic of the Congo","Data source","Spirits","0.03"
"Democratic Republic of the Congo","Data source","Other alcoholic beverages","0.00"
"Denmark","Data source","All types","9.31"
"Denmark","Data source","Beer","3.45"
"Denmark","Data source","Wine","4.22"
"Denmark","Data source","Spirits","1.65"
"Denmark","Data source","Other alcoholic beverages","0"
"Djibouti","Data source","All types","0.25"
"Djibouti","Data source","Beer","0.09"
"Djibouti","Data source","Wine","0.02"
"Djibouti","Data source","Spirits","0.14"
"Djibouti","Data source","Other alcoholic beverages","0.00"
"Dominica","Data source","All types","9.63"
"Dominica","Data source","Beer","2.11"
"Dominica","Data source","Wine","0.29"
"Dominica","Data source","Spirits","7.23"
"Dominica","Data source","Other alcoholic beverages","0"
"Dominican Republic","Data source","All types","5.54"
"Dominican Republic","Data source","Beer","2.97"
"Dominican Republic","Data source","Wine","0.33"
"Dominican Republic","Data source","Spirits","2.18"
"Dominican Republic","Data source","Other alcoholic beverages","0.06"
"Ecuador","Data source","All types","3.16"
"Ecuador","Data source","Beer","2.30"
"Ecuador","Data source","Wine","0.23"
"Ecuador","Data source","Spirits","0.60"
"Ecuador","Data source","Other alcoholic beverages","0.03"
"Egypt","Data source","All types","0.13"
"Egypt","Data source","Beer","0.08"
"Egypt","Data source","Wine","0.01"
"Egypt","Data source","Spirits","0.04"
"Egypt","Data source","Other alcoholic beverages","0.00"
"El Salvador","Data source","All types","2.82"
"El Salvador","Data source","Beer","1.39"
"El Salvador","Data source","Wine","0.05"
"El Salvador","Data source","Spirits","1.38"
"El Salvador","Data source","Other alcoholic beverages","0.01"
"Equatorial Guinea","Data source","All types","5.68"
"Equatorial Guinea","Data source","Beer","3.50"
"Equatorial Guinea","Data source","Wine","0.94"
"Equatorial Guinea","Data source","Spirits","1.19"
"Equatorial Guinea","Data source","Other alcoholic beverages","0.06"
"Eritrea","Data source","All types","0.67"
"Eritrea","Data source","Beer","0.30"
"Eritrea","Data source","Wine","0.00"
"Eritrea","Data source","Spirits","0.00"
"Eritrea","Data source","Other alcoholic beverages","0.37"
"Estonia","Data source","All types","11.20"
"Estonia","Data source","Beer","3.58"
"Estonia","Data source","Wine","1.89"
"Estonia","Data source","Spirits","4.62"
"Estonia","Data source","Other alcoholic beverages","1.11"
"Eswatini","Data source","All types","7.46"
"Eswatini","Data source","Beer","1.94"
"Eswatini","Data source","Wine","1.19"
"Eswatini","Data source","Spirits","0"
"Eswatini","Data source","Other alcoholic beverages","4.33"
"Ethiopia","Data source","All types","0.95"
"Ethiopia","Data source","Beer","0.92"
"Ethiopia","Data source","Wine","0.02"
"Ethiopia","Data source","Spirits","0.01"
"Ethiopia","Data source","Other alcoholic beverages","0.00"
"Fiji","Data source","All types","2.42"
"Fiji","Data source","Beer","1.52"
"Fiji","Data source","Wine","0.26"
"Fiji","Data source","Spirits","0.64"
"Fiji","Data source","Other alcoholic beverages","0"
"Finland","Data source","All types","8.37"
"Finland","Data source","Beer","3.97"
"Finland","Data source","Wine","1.72"
"Finland","Data source","Spirits","1.10"
"Finland","Data source","Other alcoholic beverages","1.58"
"France","Data source","All types","11.24"
"France","Data source","Beer","2.43"
"France","Data source","Wine","6.29"
"France","Data source","Spirits","2.35"
"France","Data source","Other alcoholic beverages","0.17"
"Gabon","Data source","All types","7.16"
"Gabon","Data source","Beer","5.66"
"Gabon","Data source","Wine","0.77"
"Gabon","Data source","Spirits","0.68"
"Gabon","Data source","Other alcoholic beverages","0.05"
"Gambia","Data source","All types","2.80"
"Gambia","Data source","Beer","0.14"
"Gambia","Data source","Wine","0.02"
"Gambia","Data source","Spirits","0"
"Gambia","Data source","Other alcoholic beverages","2.64"
"Georgia","Data source","All types","5.44"
"Georgia","Data source","Beer","1.64"
"Georgia","Data source","Wine","1.15"
"Georgia","Data source","Spirits","2.63"
"Georgia","Data source","Other alcoholic beverages","0.02"
"Germany","Data source","All types","10.81"
"Germany","Data source","Beer","5.64"
"Germany","Data source","Wine","3.11"
"Germany","Data source","Spirits","2.07"
"Germany","Data source","Other alcoholic beverages","0"
"Ghana","Data source","All types","1.56"
"Ghana","Data source","Beer","0.49"
"Ghana","Data source","Wine","0"
"Ghana","Data source","Spirits","0.42"
"Ghana","Data source","Other alcoholic beverages","0.65"
"Greece","Data source","All types","6.10"
"Greece","Data source","Beer","1.99"
"Greece","Data source","Wine","2.63"
