,Country,GDP (per capita PPP),HDI Rank,HDI,Life Expectancy,Overall rank,Score,GDP per capita,All types,Beer,Spirits,Wine,Other
94,India,6497.0,131.0,0.642,69.4,133,4.19,0.721,3.05,0.22,2.83,0.0,0.0
95,Nicaragua,5695.0,128.0,0.659,74.3,41,6.141,0.6679999999999999,3.81,1.61,2.18,0.02,0.0
96,Honduras,5672.0,132.0,0.633,75.1,72,5.504,0.62,2.73,1.49,1.21,0.02,0.0
97,Ghana,5194.0,138.0,0.606,63.8,108,4.657,0.5920000000000001,1.56,0.49,0.42,0.0,0.65
98,Nigeria,5155.0,161.0,0.534,54.3,91,5.155,0.6890000000000001,7.79,0.73,0.06,0.04,6.96
99,Kyrgyzstan,5133.0,120.0,0.696,71.3,92,5.131,0.53,3.88,0.52,3.28,0.08,0.0
100,Mauritania,5042.0,157.0,0.542,64.7,126,4.356,0.557,0.0,0.0,0.0,0.0,0.0
101,Myanmar,5029.0,147.0,0.579,66.9,130,4.308,0.682,1.78,0.45,1.33,0.0,0.0
102,Pakistan,4740.0,154.0,0.552,67.1,75,5.472,0.652,0.05,0.0,0.04,0.0,0.0
103,Bangladesh,4441.0,133.0,0.625,72.3,115,4.5,0.532,0.0,0.0,0.0,0.0,0.0
104,Kenya,4204.0,143.0,0.599,66.3,124,4.41,0.493,1.71,0.8,0.85,0.03,0.03
105,Sudan,4161.0,170.0,0.506,65.1,137,4.138999999999999,0.605,0.01,0.0,0.01,0.0,0.0
106,Cambodia,4159.0,144.0,0.585,69.6,120,4.433,0.5489999999999999,3.7,3.29,0.39,0.02,0.0
107,Cameroon,3604.0,153.0,0.56,58.9,99,4.975,0.535,4.19,2.47,0.01,0.12,1.59
108,Zambia,3522.0,146.0,0.582,63.5,125,4.377,0.562,3.95,1.15,0.62,0.08,2.1
109,Senegal,3315.0,168.0,0.516,67.7,109,4.631,0.429,0.27,0.18,0.02,0.07,0.0
110,Nepal,3253.0,142.0,0.596,70.5,101,4.88,0.425,0.32,0.22,0.1,0.0,0.0
111,Tajikistan,3235.0,125.0,0.661,70.9,88,5.199,0.474,0.84,0.38,0.45,0.01,0.0
112,Benin,3161.0,158.0,0.541,61.5,136,4.141,0.37799999999999995,1.37,0.87,0.21,0.06,0.22
113,Zimbabwe,3130.0,150.0,0.569,61.2,144,3.6919999999999997,0.35700000000000004,3.46,1.93,0.27,0.04,1.22
114,Lesotho,2749.0,165.0,0.522,53.7,141,3.8080000000000003,0.47200000000000003,2.82,1.62,0.3,0.09,0.81
115,Guinea,2498.0,178.0,0.473,61.2,140,3.964,0.344,0.31,0.27,0.01,0.03,0.0
116,Mali,2283.0,184.0,0.431,58.9,118,4.447,0.37,0.59,0.1,0.0,0.01,0.48
